credit_card,stud_loan,medical_exp,employment,income,marital_status,auto_insurance,children,age,gender,housing,health_status,work_hours,social_security
0,5,5,4.4,10950,4,832,0,72,2,5,4,9,1
0,5,5,0.0,40942,1,352,0,79,1,1,4,0,1
1,5,5,0.0,52300,4,1800,0,62,1,1,4,0,5
0,5,5,51.4,26400,1,200,2,34,1,1,3,40,5
0,5,5,0.0,8520,4,0,0,62,2,8,3,0,1
0,5,5,50.0,43050,2,75,0,23,2,5,2,30,5
0,1,5,51.0,71400,1,190,1,58,1,1,3,20,5
0,5,5,0.0,49574,1,680,0,69,1,1,3,0,1
0,5,5,52.0,29827,3,210,0,77,2,1,2,8,1
0,5,5,0.0,15025,4,1400,0,79,2,1,3,0,1
1,5,5,48.0,130120,1,400,0,60,1,1,2,40,5
0,5,5,0.0,11900,3,672,0,79,2,1,2,0,1
0,5,5,0.0,35062,1,263,0,86,1,1,3,0,1
0,5,5,0.0,47400,3,1100,0,85,2,1,1,0,1
1,5,5,32.8,12400,2,0,0,28,1,8,2,42,5
0,5,5,52.0,53040,2,400,0,42,1,1,1,60,5
0,5,5,0.0,43635,1,750,0,62,1,1,3,0,1
0,5,5,33.0,22200,2,600,0,61,1,1,1,72,5
1,5,5,50.6,53004,1,102,0,69,1,1,3,20,1
0,5,5,48.0,60000,2,0,0,51,1,5,3,35,5
0,5,5,50.0,66000,1,500,0,47,1,1,2,40,5
1,5,5,0.0,11300,3,121,0,65,2,5,3,0,1
0,5,5,0.0,11000,2,1000,0,64,2,1,4,0,1
0,5,5,0.0,6624,3,0,0,82,2,1,4,0,1
0,1,5,50.6,13328,4,1,1,64,2,5,2,25,5
0,5,5,0.0,9292,3,0,0,60,2,5,3,0,5
1,5,5,0.0,4152,2,50,0,55,2,5,3,0,1
0,5,5,0.0,17599,2,450,0,56,1,5,2,0,5
0,5,5,0.0,44084,1,2000,0,80,1,1,2,0,1
1,1,5,50.0,68500,1,80,3,33,1,8,1,60,1
0,5,5,0.0,19896,4,0,0,74,1,5,3,0,1
0,5,5,0.0,9000,3,0,0,84,2,5,3,0,1
1,5,5,0.0,42400,1,1600,0,69,1,1,2,0,1
1,5,5,48.0,95012,5,1400,0,51,2,1,3,40,5
0,5,5,0.0,57340,1,2000,0,81,1,1,2,0,1
0,5,5,0.0,44505,4,2000,0,85,1,5,2,0,1
0,5,5,0.0,12492,4,0,0,93,2,5,3,0,1
0,5,5,0.0,30808,3,1400,0,85,1,1,1,0,1
0,5,5,50.0,67775,1,800,0,85,1,1,3,42,1
0,5,5,0.0,17734,3,0,0,91,2,1,4,0,1
0,5,5,0.0,105600,1,2000,0,60,1,1,4,0,1
0,5,5,0.0,10800,3,2000,0,90,2,1,3,0,1
1,5,5,0.0,97975,1,1440,2,64,1,1,4,0,1
0,1,5,51.0,26002,2,700,0,34,1,5,2,50,5
1,5,5,51.6,116100,1,150,0,60,1,1,4,40,5
0,5,5,52.0,107600,1,3000,0,80,1,1,1,8,1
1,1,5,52.0,9840,2,60,0,35,1,5,2,15,5
0,5,5,0.0,57984,1,2800,0,90,1,1,1,0,1
0,5,5,49.0,30000,4,0,0,55,2,5,3,40,5
0,5,5,0.0,27210,3,800,0,92,2,1,3,0,1
1,1,5,51.0,95100,1,200,0,49,1,1,4,53,5
0,5,5,0.0,67610,1,1200,0,70,1,1,2,0,5
0,5,5,50.0,87020,1,160,0,59,1,1,3,51,5
1,1,5,49.0,55025,2,600,1,38,2,1,2,40,5
0,5,5,0.0,14534,2,0,0,57,1,5,4,0,5
0,5,5,0.0,15768,1,0,0,68,1,1,3,0,1
1,5,5,0.0,18402,2,0,0,84,2,5,4,0,1
1,5,5,0.0,51300,4,100,0,71,1,1,2,0,1
0,1,5,0.0,8796,2,0,0,52,2,5,2,0,5
1,1,5,43.6,152016,1,300,0,30,1,1,2,40,5
1,5,5,0.0,30770,1,179,0,75,1,1,2,0,1
0,5,5,52.0,11160,4,83,0,45,1,5,2,4,1
0,1,1,35.3,18618,4,0,1,53,2,5,4,13,5
0,5,5,0.0,14292,3,58,1,54,2,5,4,0,1
0,1,5,48.0,50150,1,1000,2,34,1,1,3,40,5
0,1,5,31.8,9000,4,0,3,35,2,5,2,30,5
0,1,1,24.0,26546,4,0,1,32,2,5,4,30,5
1,5,5,0.0,25569,3,1600,0,82,2,1,2,0,1
0,5,5,0.0,26425,3,1160,0,75,1,5,4,0,1
0,5,5,0.0,16840,2,190,1,57,2,1,4,0,1
0,5,5,49.0,118700,1,145,0,57,1,1,4,52,5
0,5,5,0.0,138129,1,1500,0,70,1,1,2,0,1
1,5,1,47.0,31945,2,650,0,40,1,1,4,40,5
0,1,5,36.0,69300,2,1200,0,31,1,1,2,40,5
0,5,5,0.0,13164,3,0,0,85,2,5,3,0,1
0,5,5,52.0,24840,4,0,0,62,2,1,4,66,5
0,5,5,52.0,20000,2,50,0,27,1,5,4,32,5
0,5,1,0.0,11172,2,0,0,61,1,5,5,0,1
0,5,5,5.0,30749,1,120,0,59,1,5,3,2,1
0,5,5,0.0,26474,3,0,0,54,2,5,2,0,1
0,5,5,0.0,8184,3,0,0,86,2,5,5,0,1
0,5,5,0.0,16850,3,500,0,79,2,5,1,0,1
0,5,5,50.0,75050,1,2000,2,26,1,5,2,75,5
0,5,5,0.0,16068,3,900,0,88,2,5,2,0,1
0,5,5,27.3,10838,2,0,0,29,1,5,1,40,5
0,5,5,0.0,84800,1,1000,0,77,1,1,4,0,1
0,5,5,0.0,18312,4,850,0,61,1,8,4,0,1
0,5,5,0.0,36169,1,66,0,77,1,1,1,0,1
